Creature,Size,Type,Subtypes,HD,(hp),Spd,s/f/b/c,AC,t,ff,Grpl,Attack,Full Attack,Special Attacks,SLAs,Special Qualities,F,R,W,S,D,Co,I,W,Ch,Environment,frqncy,Aln,CR,Book,,,"Entries in italics are creatures whose description includes a ""x as characters"" entry and who have a level adjustment. Player's Handbook races and their variants that do not include level adjustments will be omitted from this database.",,,,,,,,,,,,,
"Angel, Solar",Large,Outsider,"Angel, Extraplanar, Good",22,209,50,f150 (gd),35,14,30,35,+5 dancing greatsword +35 (3d6+18/19-20) or +2 composite longbow (+5 Str bonus) +28 (2d6+7/x3 plus slaying) or slam +30 (2d8+13),+5 dancing greatsword +35/+30/+25/+20 (3d6+18/19-20) or +2 composite longbow (+5 Str bonus) +28/+23/+18/+13 (2d6+7/x3 plus slaying) or slam +30 (2d8+13),"SLAs, spells (clr20)","CL20, at will - aid, animate objects, commune, continual flame, dimensional anchor, greater dispel magic, holy smite, imprisonment, invisibility (self only), lesser restoration, power word stun, remove curse, remove disease, remove fear, resistance to energy, summon monster VII, speak with dead, waves of fatigue; 3/day - blade barrier, earthquake, heal, mass charm monster, permanency, resurrection, waves of exhaustion; 1/day - greater restoration, power word blind, power word kill, power word stun, prismatic spray, wish.","Change shape, DR 15/epic and evil, DV60, LLV, immunity to acid, cold, and petrification, protective aura, regeneration 15, resistance to electricity and fire 10, SR 32, tongues, +4 on saves vs. poison",18,18,20,28,20,20,23,25,25,Upper Planes,always,XG,23,MM1,,,,,,,,,,,,,,,,
Anguillian,Medium,Aberration,Aquatic,3,28,20,s40,16,12,14,4,Pincer +4 (1d4+2) or spear +4 (18d+3/x3),2 pincers and bite +2 (1d4+1); or spear and bite +2 (1d4+1),"Attach, blood drain",,"DV90, landwalking, light blindness, speak with eels, vulnerability to fire",5,3,3,15,14,15,10,14,6,Cold aquatic,usually,LE,2    ,Storm,,,,,,,,,,,,,,,,
"Animated Object, Tiny",Tiny,Construct,,1/2,2,40,,14,14,12,-9,Slam +1 (1d3-1),Same as Attack,"One or more of: blind, constrict, improved speed, trample",,"DV60, hardness, LLV, possibly improved speed; see text",0,2,-5,8,14,-,-,1,1,Any,always,NN,1/2,MM1,,,,,,,,,,,,,,,,
"Animated Object, Small",Small,Construct,,1,15,30,,14,12,13,-4,Slam +1 (1d4),Same as Attack,"One or more of: blind, constrict, improved speed, trample",,"DV60, hardness, LLV, possibly improved speed; see text",0,1,-5,10,12,-,-,1,1,Any,always,NN,1    ,MM1,,,,,,,,,,,,,,,,
"Animated Object, Medium",Medium,Construct,,2,31,30,,14,10,14,2,Slam +2 (1d6+1),Same as Attack,"One or more of: blind, constrict, improved speed, trample",,"DV60, hardness, LLV, possibly improved speed; see text",0,0,-5,12,10,-,-,1,1,Any,always,NN,2    ,MM1,,,,,,,,,,,,,,,,
"Animated Object, Large",Large,Construct,,4,52,20,,14,9,14,10,Slam +5 (1d8+4),Same as Attack,"One or more of: blind, constrict, improved speed, trample",,"DV60, hardness, LLV, possibly improved speed; see text",1,1,-4,16,10,-,-,1,1,Any,always,NN,3    ,MM1,,,,,,,,,,,,,,,,
"Animated Object, Huge",Huge,Construct,,8,84,20,,13,7,13,19,Slam +9 (2d6+7),Same as Attack,"One or more of: blind, constrict, improved speed, trample",,"DV60, hardness, LLV, possibly improved speed; see text",2,1,-3,20,8,-,-,1,1,Any,always,NN,5    ,MM1,,,,,,,,,,,,,,,,
"Animated Object, Gargantuan",Garg.,Construct,,16,148,10,,12,4,12,31,Slam +15 (2d8+10),Same as Attack,"One or more of: blind, constrict, improved speed, trample",,"DV60, hardness, LLV, possibly improved speed; see text",5,3,0,24,6,-,-,1,1,Any,always,NN,7    ,MM1,,,,,,,,,,,,,,,,
"Animated Object, Colossal",Coloss.,Construct,,32,256,10,,11,-1,11,49,Slam +25 (4d6+13),Same as Attack,"One or more of: blind, constrict, improved speed, trample",,"DV60, hardness, LLV, possibly improved speed; see text",10,7,5,28,4,-,-,1,1,Any,always,NN,10,MM1,,,,,,,,,,,,,,,,
"Animated Shrub, Tiny",Tiny,Plant,,1/2,2,10,,15,14,13,-9,Slam +1 (1d3-1),Same as Attack,-,,"DR 5/bludgeoning or slashing, LLV, vulnerability to fire",2,2,0,9,14,11,-,10,6,Any land,always,NN,1/4,GotP,,,,,,,,,,,,,,,,
"Animated Shrub, Small",Small,Plant,,1,4,10,,16,12,15,-4,Slam +1 (1d4),Same as Attack,-,,"DR 5/bludgeoning or slashing, LLV, vulnerability to fire",2,1,0,11,12,11,-,10,6,Any land,always,NN,1/2,GotP,,,,,,,,,,,,,,,,
"Animated Shrub, Medium",Medium,Plant,,2,11,10,,17,10,17,2,Slam +2 (1d6+1),2 slams,-,,"DR 5/bludgeoning or slashing, LLV, vulnerability to fire",4,0,0,13,10,13,-,10,6,Any land,always,NN,1    ,GotP,,,,,,,,,,,,,,,,
"Animated Tree, Large",Large,Plant,,4,30,10,,19,9,19,12,Slam +7 (1d8+5),2 slams,"Double damage against objects, trample 2d8+2",,"DR 10/bludgeoning or slashing, LLV, vulnerability to fire",7,1,1,21,10,17,-,10,6,Any land,always,NN,4    ,GotP,,,,,,,,,,,,,,,,
"Animated Tree, Huge",Huge,Plant,,8,76,10,,20,7,20,23,Slam +13 (2d6+9),2 slams,"Double damage against objects, trample 2d10+4",,"DR 10/bludgeoning or slashing, LLV, vulnerability to fire",11,1,2,29,8,21,-,10,6,Any land,always,NN,7    ,GotP,,,,,,,,,,,,,,,,
"Animated Tree, Gargantuan",Garg.,Plant,,16,184,10,,22,6,22,35,Slam +19 (2d8+11),2 slams,"Double damage against objects, trample 2d12+5",,"DR 10/bludgeoning or slashing, LLV, vulnerability to fire",17,3,5,33,6,25,-,10,6,Any land,always,NN,15,GotP,,,,,,,,,,,,,,,,
Ankashar,Large,Outsider,"Chaotic, Evil, Extraplanar",12,114,30,f40 (pr),22,9,22,22,Bite +17 (1d8+6 plus disease),Bite and 2 wings +15 (1d6+3) and gore +15 (1d8+3) and tail +15 (1d8+3 plus trip),"Disease, gaze of madness, trip",,"Compact body, DR 10/good, dV60, immunity to disease, mind-affecting, and poison, resistance to acid 10 and fire 10, scent, SR 16",13,8,10,22,11,20,6,14,11,The Abyss (Endless Maze),always,CE,8    ,341,,,,,,,,,,,,,,,,
Ankheg,Large,Magical Beast,,3,28,30,b20,18,9,18,12,Bite +7 (2d6+7 plus 1d4 acid),Same as Attack,"Improved grab, spit acid",,"DV60, LLV, tremorsense 60ft",6,3,2,21,10,17,1,13,6,Warm plains,always,NN,3    ,MM1,,,,,,,,,,,,,,,,
Annihilator,Medium,Aberration,,20,110,40,,25,15,20,15,Antennae touch +21 (disintegration),2 antennae touches,Disintegration,,"DR 15/magic, DV60, scent, SR 21",7,11,13,10,21,13,2,13,12,Underground,always,NE,15,Under,,,,,,,,,,,,,,,,
"Anophelii, Female",Medium,Monstrous Humanoid,,12,78,30,f60 (avg),19,15,14,21,Bite +13 (1d8+1/19-20 plus blood drain),Same as Attack,"Berserk, blood drain, improved grab",,"DV60, iron grip",6,13,6,12,21,14,7,7,8,Any warm,usually,CN,7    ,352,,,,,,,,,,,,,,,,
"Anophelli, Male",Medium,Monstrous Humanoid,,3,13,30,,13,11,12,9,Dagger +1 (1d4-2/19-20),Same as Attack,-,,"DV60, iron grip",1,4,3,7,12,11,17,10,10,Any warm,usually,NN,1    ,352,,,,,,,,,,,,,,,,
"Ant, Phalanx, Builder",Small,Magical Beast,,2,14,40,c20,14,11,14,3,Bite +3 (1d3+1),Same as Attack,"Crushing attack, improved grab",,"DR 5/adamantine or magic, DV60, hive mind, immunity to fire and poison, LLV, scent, tremorsense 60ft",3,3,0,12,10,10,3,11,8,Underground,always,LN,1/4,KoD,,,,,,,,,,,,,,,,
"Ant, Phalanx, Queen",Medium,Magical Beast,,6,45,30,"c10, f30 (pr)",20,11,19,13,Sting +8 (2d6+3 plus 2d4 acid),Sting and bite +6 (1d6+1 plus paralysis) and 2 claws +6 (1d4+1),"Acid sting, improved grab, poison, spells (mystic6)",,"DR 10/adamantine or magic, DV60, hive mind, immunity to fire, mind-affecting, and poison, LLV, scent, SR 15, telepathy, tremorsense 60ft",7,6,6,17,13,15,14,19,15,Underground,always,LN,6    ,KoD,,,,,,,,,,,,,,,,
"Ant, Phalanx, Soldier",Medium,Magical Beast,,4,30,50,c20,18,11,17,7,Bite +7 (1d6+3 plus paralysis),Bite and sting +5 (1d8+1 plus 1d6 acid),"Acid sting, improved grab, paralysis",,"DR 10/adamantine or magic, DV60, hive mind, immunity to fire and poison, LLV, scent, tremorsense 60ft",6,5,2,17,13,14,7,12,9,Underground,always,LN,3    ,KoD,,,,,,,,,,,,,,,,
"Ant, Phalanx, Worker",Small,Magical Beast,,3,19,60,c30,17,14,14,-1,Bite +3 (1d2),Same as Attack,"Improved grab, SLAs","CL3, at will - light, mending, purify food or drink; 3/day - cause fear, obscuring mist; 1/day - shield other","DR 5/adamantine or magic, DV60, hive mind, immunity to fire and poison, LLV, scent, tremorsense 60ft",4,6,3,10,17,12,10,15,10,Underground,always,LN,1    ,KoD,,,,,,,,,,,,,,,,
"Aoa, Droplet",Medium,Outsider,Extraplanar,3,22,,f50 (prf),22,14,18,2,Slam +8 (1d8-1 plus dispelling touch),Same as Attack,Dispelling touch,"CL15, at will - detect magic","DR 5/magic, DV60, reflective spell resistance 22, resistance to cold 20, electricity 20, fire 20, and sonic 20, SLAs",6,7,5,8,18,17,4,15,11,Astral Plane,always,NN,3    ,FF,,,,,,,,,,,,,,,,
"Aoa, Sphere",Huge,Outsider,Extraplanar,13,149,,f50 (prf),20,12,16,22,Slam +16 (2d6+1/19-20),Same as Attack,"Dispelling touch, reflective pulse","CL15, at will - detect magic","DR 10/magic, DV60, reflective spell resistance 25, resistance to cold 20, electricity 20, fire 20, and sonic 20, SLAs, split",15,12,13,12,18,25,4,17,11,Astral Plane,always,NN,15,FF,,,,,,,,,,,,,,,,
Carcass Eater,Small,Animal,,1,7,30,b10,15,14,12,-5,Bite +4 (1d4-1),2 claws +4 (1d2-1) and bite -1 (1d4-1),Blood frenzy,,"LLV, scent",5,5,1,8,17,17,2,12,6,Temperate forests,always,NN,1/2,LM,,,,,,,,,,,,,,,,
"Cat, Pampas",Small,Animal,,1,6,40,c20,14,13,12,-2,Bite +4 (1d3+1),Bite and 2 claws +2 (1d2),"Improved grab, pounce, rake 1d2+1",,"LLV, scent",4,4,1,13,15,14,2,12,7,Any cold,always,NN,1    ,DDen,,,,,,,,,,,,,,,,
Chordevoc,Tiny,Animal,,1,5,10,f60 (gd),18,16,14,-9,Talons +6 (1d3-1),Same as Attack,-,,"Blindsense 60ft, LLV",3,6,2,9,18,12,2,15,5,Warm plains,always,NN,1/2,RotW,,,,,,,,,,,,,,,,
Coyote,Medium,Animal,,1,4,40,,13,11,12,0,Bite +1 (1d4),Same as Attack,-,,"LLV, scent",2,3,0,10,12,10,1,10,5,Warm plains,always,NN,1/2,DDen,,,,,,,,,,,,,,,,
Apsara,Medium,Fey,Spirit,6,27,30,s20,17,17,14,3,Dagger +6 (1d4/19-20),Same as Attack,"Blinding beauty, SLAs, spells (drd7), stunning glance","CL7, 1/day - dimension door","DR 10/cold iron, LLV, unearthly grace, wild empathy",7,12,12,10,17,12,16,17,19,Temperate forests,usually,CG,7    ,OA,,,,,,,,,,,,,,,,
Aracholoth,Medium,Aberration,,3,19,30,c15,15,12,13,3,Bite +3 (1d6+1 plus poison) or shortbow +4 (1d6),Same as Attack,"Gaze, poison, SLAs","CL3, 1/day - dancing lights, darkness, faerie fire, suggestion, web",SR 14,3,3,4,12,14,14,11,16,10,Underground,always,CE,3    ,298,,,,,,,,,,,,,,,,
Aranea,Medium,Magical Beast,Shapechanger,3,22,50,c25,13,12,11,3,Bite +5 (1d6 plus poison) or web +5,Same as Attack,"Poison, spells (sor3), web",,"Change shape, DV60, LLV",5,5,4,11,15,14,14,13,14,Temperate forests,usually,NN,4    ,MM1,,,,,,,,,,,,,,,,
Arcadian Avenger,Medium,Outsider,"Extraplanar, Good, Lawful",8,60,30,f30 (gd),19,12,17,11,Masterwork longsword +12 (1d8+3/19-20),Masterwork longsword +12/+7 (1d8+3/19-20); or masterwork longsword +8/+3 (1d8+3/19-20) and masterwork longsword +8 (1d8+1/19-20),Blade rend 2d6,,"DV60, elude chance, wrath",9,8,7,16,15,16,10,12,12,Arcadia,usually,LG,6    ,MM5,,,,,,,,,,,,,,,,
Arcane Ballista,Large,Construct,,6,63,20,,18,8,18,13,Slam +8 (1d8+7) or bolt +5 (3d8+3 plus 1d6 fire/x2 plus 1d10 fire),Same as Attack,Flaming burst bolts,,"DV60, LLV, self-loading",2,1,-3,20,8,-,-,1,1,Any,always,NN,5    ,FoW,,,,,,,,,,,,,,,,
Arcane Ooze,Huge,Ooze,,15,202,20,c20,3,3,3,25,Slam +15 (2d6+9 plus 2d6 acid),Same as Attack,"Acid, constrict 2d6+9 plus 2d6 acid, improved grab, spell siphon",,"Blindsight 60ft, immunity to magic",13,0,0,22,1,26,-,1,1,Underground,always,NN,9    ,MM3,,,,,,,,,,,,,,,,
"Dinosaur, Compsognathus",Tiny,Animal,,1,4,30,,16,16,12,-11,Bite +6 (1d3-3 plus infection),Same as Attack,Infection,,"LLV, resistant to disease, scent",2,6,2,4,19,10,2,14,11,Warm forests,always,NN,1/2,318,,,,,,,,,,,,,,,,
"Archon, Hammer",Large,Outsider,"Archon, Earth, Extraplanar, Good, Lawful",10,105,20,,25,9,25,21,Warhammer +17 (2d6+7/x3) or celestial spear +9 (2d8+7 plus 2d6 holy),Warhammer +17/+12 (2d6+7/x3); or celestial spear +9 (2d8+7 plus 2d6 holy),Celestial spear,"CL10, at will - aid, detect evil; 3/day - stone shape, wall of stone","Aura of menace, DR 10/evil, DV120, earth glide, earth mastery, immunity to electricity and petrification, magic circle against evil, SR 18, teleport, tongues, +4 on saves vs. poison",13,7,9,24,11,23,13,14,10,Celestia,always,LG,9    ,RoS,,,,,,,,,,,,,,,,
"Archon, Hound",Medium,Outsider,"Archon, Extraplanar, Good, Lawful",6,33,40,,19,10,19,8,Bite +8 (1d8+2) or greatsword +8 (2d6+3/19-20),Bite +8 (1d8+2) and slam +3 (1d4+1); or greatsword +8/+3 (2d6+3/19-20) and bite +3 (1d8+1),SLAs,"CL6, at will - aid, continual flame, detect evil, message","Aura of menace, change shape, DR 10/evil, DV60, immunity to electricity and petrification, magic circle against evil, scent, SR 16+class levels, teleport, tongues, +4 on saves vs. poison",6,5,6,15,10,13,10,13,12,Celestia,always,LG,4    ,MM1,,,,,,,,,,,,,,,,
"Archon, Hound, Hero",Medium,Outsider,"Archon, Extraplanar, Good, Lawful",17,143,30,,30,10,30,22,+2 cold iron greatsword +25 (2d6+9/19-20) or bite +22 (1d8+5),+2 cold iron greatsword +25/+20/+15/+10 (2d6+9/19-20) and bite +17 (1d8+2); or bite +22 (1d8+5) and slam +17 (1d4+2),"Smite evil, spells (pal11), SLAs, turn undead 6/day","CL6, at will - aid, continual flame, detect evil, message","Aura of menace, change shape, DR 10/evil, DV60, immunity to electricity and petrification, magic circle against evil, paladin abilities, scent, SR 27, teleport, tongues, +4 on saves vs. poison",18,11,13,21,10,16,8,14,16,Celestia,always,LG,16,MM1,,,,,,,,,,,,,,,,
"Archon, Justice",Medium,Outsider,"Archon, Extraplanar, Good, Lawful",6,63,20,f40 (gd),19,11,18,9,+1 greatsword +10 (2d6+5/19-20),+1 greatsword +10/+5 (2d6+5/19-20),"Justice strike, SLAs","CL6, at will - aid, continual flame, detect evil, teleport (self +50lbs only)","Aura of menace, DR 10/evil, DV60, immunity to electricity and petrification, LLV, magic circle against evil, SR 16, tongues, +4 on saves vs. poison",10,8,8,16,12,21,10,13,14,Celestia (Empyrea),always,LG,6    ,MM4,,,,,,,,,,,,,,,,
"Archon, Justice, Champion",Medium,Outsider,"Archon, Extraplanar, Good, Lawful",10,129,20,f40 (gd),23,11,22,15,+1 greatsword +17 (2d6+8/19-20),+1 greatsword +17/+12 (2d6+8/19-20),"Justice strike, SLAs, spells (pal4), turn undead 6/day","CL6, at will - aid, continual flame, detect evil, teleport (self +50lbs only)","Aura of courage, aura of menace, DR 10/evil, immunity to electricity and petrification, lay on hands, LLV, magic circle against evil, SR 20, tongues, +4 on saves vs. poison",19,12,11,21,12,24,10,11,17,Celestia (Empyrea),always,LG,10,MM4,,,,,,,,,,,,,,,,
"Archon, Lantern",Small,Outsider,"Archon, Extraplanar, Good, Lawful",1,4,,f60 (prf),15,11,15,-8,Light ray +2 (1d6),2 light rays +2 (1d6),SLAs,"CL3, at will - aid, continual flame, detect evil","Aura of menace, DR 10/evil and magic, DV60, immunity to electricity and petrification, magic circle against evil, teleport, tongues, +4 on saves vs. poison",2,2,2,1,11,10,6,11,10,Celestia,always,LG,2    ,MM1,,,,,,,,,,,,,,,,
"Archon, Owl",Large,Outsider,"Archon, Extraplanar, Good, Lawful",10,85,30,f90 (gd),24,14,19,18,Claw +13 (1d8+3),2 claws and bite +8 (1d6+1/19-20),"Eye rays, SLAs, swoop","CL12, at will - calm animals, charm animal, dispel magic, faerie fire, freedom of movement (self only, always active), speak with animals; 3/day - dismissal, find the path, greater dispel magic, neutralize poison; 1/day - divine power, reincarnate","Aura of menace, DR 10/evil, DV60, immunity to electricity and petrification, magic circle against evil, SR 25, stone to flesh, teleport, tongues, +4 on saves vs. poison",11,14,14,16,20,18,17,25,15,Celestia,always,LG,11,BoED,,,,,,,,,,,,,,,,
"Archon, Sibyllic Guardian",Medium,Outsider,"Archon, Extraplanar, Good, Lawful, Psionic",9,85,30,,25,13,22,13,+2 greatsword +15 (2d6+8/19-20),+2 greatsword +15/+10 (2d6+8/19-20),"PLAs, SLAs","ML9, at will - brain lock (any nonmindless), detect hostile intent, detect psionics, ego whip (2d4), mindlink, psionic teleport (self +50lbs only); 3/day - dispel psionics, ectoplasmic cocoon, psionic fly; 1/day - second chance; CL9, at will - aid, continual flame, detect evil, message","Aura of menace, DR 10/evil, DV60, immunity to electricity and poison, LLV, magic circle against evil, PR 20, tongues, +4 on saves vs. poison",11,9,9,18,16,20,16,16,20,Celestia,always,LG,10,C.Ps,,,,,,,,,,,,,,,,
"Archon, Sword",Large,Outsider,"Archon, Extraplanar, Good, Lawful",11,71,40,f90 (gd),26,12,23,22,Armblade +20 (1d8+9/19-20 plus 2d6 holy plus 1d6 fire),2 armblades,"Armblades, discorporating dive, SLAs","CL11, at will - aid, continual flame, divination, locate creature, locate object, message; 3/day - commune, dispel chaos, mark of justice, wages of sin; 1/day - touch of adamantine","Aura of menace, DR 10/evil, DV60, immunity to electricity and petrification, LLV, magic circle against evil, SR 26, teleport, tongues, +4 on saves vs. poison",9,10,9,25,17,14,12,14,17,Celestia,always,LG,11,BoED,,,,,,,,,,,,,,,,
"Archon, Throne",Large,Outsider,"Archon, Extraplanar, Good, Lawful",14,105,30,,40,16,33,24,+1 vorpal greatsword +21 (2d8+10/17-20),+1 vorpal greatsword +21/+16/+11 (2d8+10/17-20),"Penitentiary gaze, SLAs","CL14, at will - atonement, break enchantment, bless weapon, blessed sight, cure critical wounds, detect evil, discern lies, greater dispel magic, hallow, mark of justice, neutralize poison, restoration, see invisibility, sending, vision of heaven; 3/day - banishment, death ward, dictum, divine favor, find the path, heal, heroes' feast, holy sword, raise dead, greater restoration, righteous smite, shield of the archons, true seeing; 1/day - resurrection","Aura of menace, channeling, DR 10/evil, DV60, immunity to electricity and petrification, LLV, magic circle against evil, SR 30, teleport, tongues, +4 on saves vs. poison",12,16,12,22,24,17,18,16,22,Celestia,always,LG,15,BoED,,,,,,,,,,,,,,,,
"Archon, Trumpet",Medium,Outsider,"Archon, Extraplanar, Good, Lawful",12,126,40,f90 (gd),27,13,24,17,+4 greatsword +21 (2d6+11/19-20),+4 greatsword +21/+16/+11 (2d6+11/19-20),"SLAs, spells (clr14), trumpet","CL12, at will - continual flame, detect evil, message","Aura of menace, DR 10/evil, DV60, immunity to electricity and petrification, magic circle against evil, SR 29, teleport, tongues, +4 on saves vs. poison",14,11,11,20,17,23,16,16,16,Celestia,always,LG,14,MM1,,,,,,,,,,,,,,,,
"Archon, Warden",Large,Outsider,"Archon, Extraplanar, Good, Lawful",8,60,30,,30,9,30,20,Claw +15 (1d8+8),2 claws and bite +10 (2d6+4),"Rend 2d8+12, SLAs","CL11, at will - aid, continual flame, detect scrying, detect thoughts, locate creature, scrying, see invisibility, true strike; 3/day - shield of the archons, true strike; 3/day - shield of the archons, true seeing","Aura of menace, DR 10/evil, DV60, immunity to electricity and petrification, LLV, magic circle against evil, scent, SR 25, teleport, tongues, uncanny dodge, unerring assay, +4 on saves vs. poison",9,6,7,27,11,17,16,12,12,Celestia,always,LG,8    ,BoED,,,,,,,,,,,,,,,,
"Archon, Word",Medium,Outsider,"Archon, Extraplanar, Lawful, Good",10,105,30,f80 (gd),24,11,23,16,+1 holy warhammer +17 (1d8+10/x3 plus 2d6 holy),+1 holy warhammer +17/+12 (1d8+10/x3 plus 2d6 holy),Utterances,"TL10, LotEM: 4th - potent word of nurturing, 3rd - incarnation of angels, 2nd - archer's eye; LofPM - 1st - shockwave","Aura of menace, DR 10/evil, DV60, immunity to electricity and petrification, magic circle against evil, SR 18, tongues, +4 on saves vs. poison",13,8,10,22,13,23,22,16,17,Celestia,always,LG,9    ,ToM,,,,,,,,,,,,,,,,
Arctic Cat,Medium,Magical Beast,,5,32,50,c25,14,12,12,5,Claw +8 (1d6+2),2 claws and bite +2 (2d6+1),"Improved grab, psionic pounce, PLAs, rake 1d6+1","ML16, at will - dimension slide (move action*); 3/day - ego whip (3d4 Cha*), mental barrier (+5 deflection, 8 rds*)","DV60, LLV",5,6,2,15,14,13,6,12,11,Cold mountains,usually,NN,3    ,Web,,,,,,,,,,,,,,,,
"Argent Spider, Tiny",Tiny,Vermin,,1,5,40,c20,17,15,14,-11,Bite +5 (1d3-3 plus poison),Same as Attack,Poison,,"DV60, dimension slide",3,3,0,5,16,12,-,10,6,Any,always,NN,1    ,Web,,,,,,,,,,,,,,,,
"Argent Spider, Small",Small,Vermin,,2,11,40,c20,18,14,15,-4,Bite +5 (1d4-1 plus poison),Same as Attack,Poison,,"DV60, dimension slide",4,3,0,9,16,12,-,10,6,Any,always,NN,2    ,Web,,,,,,,,,,,,,,,,
"Argent Spider, Medium",Medium,Vermin,,4,26,40,c20,19,13,16,4,Bite +6 (1d6+1 plus poison),Same as Attack,Poison,,"DV60, dimension slide",6,4,1,13,16,14,-,10,6,Any,always,NN,3    ,Web,,,,,,,,,,,,,,,,
